ID,mag_name,assembly_type,link_to_assembly,GTDB_version,domain,phylum,class,order,family,genus,species,closest_placement_ani,completeness,contamination,size,GC,N50,contigs,number_genes,cazy_hits,pfam_hits,kegg_hits,number_unannotated_genes,percent_unannotated_genes,host_species,AB_batch,taxonomy_level,sample_type
EHM019929,EHA01190_bin.23.fa,Coassembly,EHA01190,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Serratia,s__Serratia nevei,0.00,88.43,2.02,4260596,59.60%,6493.00,128,4152,85,3493,2424,566,14,Psittacula echo,ABB0170,Species,Faecal
EHM016352,EHA00530_bin.10.fa,Individual,EHA00530,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Dysgonomonadaceae,g__,s__,0.00,100.00,0.00,2009599,43.20%,44393.00,534,1821,68,1417,891,384,21,Strix aluco,ABB0120,Family,Skin swab
EHM016368,EHA00530_bin.9.fa,Individual,EHA00530,2.3.0,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__,s__,0.00,95.92,2.25,1597997,29.40%,11085.00,227,1509,41,1146,781,336,22,Strix aluco,ABB0120,Family,Skin swab
EHM016401,EHA00528_bin.15.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__,s__,0.00,67.32,2.24,1855873,47.50%,2699.00,31,1108,39,839,466,249,22,Strix aluco,ABB0120,Family,Anal/cloacal swab
EHM016404,EHA00528_bin.18.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__DT-91,g__,s__,0.00,93.40,1.11,2189039,43.50%,8955.00,756,2177,32,1783,1252,347,16,Strix aluco,ABB0120,Family,Anal/cloacal swab
EHM016420,EHA00528_bin.7.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales_D,f__Amphibacillaceae,g__,s__,0.00,82.88,3.47,3387282,40.00%,7700.00,541,3243,75,2479,1518,711,22,Strix aluco,ABB0120,Family,Anal/cloacal swab
EHM016422,EHA00528_bin.9.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__DSM-6294,g__,s__,0.00,91.72,0.43,2486770,44.30%,19944.00,194,2421,23,2015,1454,351,14,Strix aluco,ABB0120,Family,Anal/cloacal swab
EHM016571,EHA00535_bin.19.fa,Individual,EHA00535,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__,0.00,74.09,3.42,2686041,42.90%,4423.00,197,2388,55,1665,863,695,29,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016229,EHA00531_bin.10.fa,Individual,EHA00531,2.3.0,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia muciniphila,98.69,97.95,0.00,2950484,55.50%,94668.00,563,2592,114,1674,1073,885,34,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016417,EHA00528_bin.3.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Alteromonadaceae,g__Aliidiomarina,s__,80.45,96.57,0.67,2516011,45.50%,340047.00,14,2348,29,2030,1565,264,11,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016313,EHA00539_bin.21.fa,Individual,EHA00539,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Amedibacterium,s__Amedibacterium intestinale,99.15,97.16,0.00,2242577,33.70%,28870.00,420,2254,47,1786,1126,425,19,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016315,EHA00539_bin.3.fa,Individual,EHA00539,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Anaerofilum,s__,92.23,73.45,1.02,2215612,60.60%,5562.00,487,1945,87,1527,851,397,20,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016320,EHA00539_bin.8.fa,Individual,EHA00539,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Anaeromassilibacillus,s__Anaeromassilibacillus stercoravium,98.58,81.75,0.22,2280679,53.90%,6633.00,421,2035,95,1618,993,397,20,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016394,EHA00536_bin.9.fa,Individual,EHA00536,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides fragilis,99.12,99.25,1.96,4953213,43.10%,192565.00,47,4123,230,3236,1780,837,20,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016243,EHA00531_bin.7.fa,Individual,EHA00531,2.3.0,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila,s__Bilophila wadsworthia,97.16,99.40,0.59,3978271,59.90%,26127.00,250,3517,48,2699,1712,767,22,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016122,EHA00529_bin.10.fa,Individual,EHA00529,2.3.0,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Actinomycetales,f__Brevibacteriaceae,g__Brevibacterium,s__,0.00,65.51,6.90,3081834,63.80%,13115.00,575,2903,32,2341,1330,502,17,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016567,EHA00535_bin.15.fa,Individual,EHA00535,2.3.0,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Actinomycetales,f__Brevibacteriaceae,g__Brevibacterium,s__,0.00,99.03,1.60,3683300,63.10%,21245.00,35,3502,40,2727,1602,719,21,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016579,EHA00535_bin.3.fa,Individual,EHA00535,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-95,s__CAG-95 sp002490775,98.26,50.09,3.51,2933656,39.90%,5178.00,661,2809,112,1918,969,846,30,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016310,EHA00539_bin.19.fa,Individual,EHA00539,2.3.0,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__CAG-266,s__CAG-266 sp000436095,96.11,82.00,2.51,1519002,45.90%,4380.00,55,1374,18,1088,703,263,19,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016238,EHA00531_bin.2.fa,Individual,EHA00531,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q,s__,0.00,99.36,0.00,3973899,53.20%,45770.00,138,3558,66,2719,1644,795,22,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016304,EHA00539_bin.12.fa,Individual,EHA00539,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q,s__Clostridium_Q saccharolyticum_A,98.75,87.15,0.95,2519631,50.90%,6129.00,494,2204,33,1790,1106,383,17,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016239,EHA00531_bin.3.fa,Individual,EHA00531,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,80.56,93.97,0.00,2207157,64.70%,13417.00,290,1925,66,1465,876,433,22,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016312,EHA00539_bin.20.fa,Individual,EHA00539,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella tanakaei,96.99,96.77,1.73,2366623,60.10%,14467.00,128,2186,52,1754,1093,400,18,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016398,EHA00528_bin.12.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__,0.00,99.14,0.26,2375860,63.70%,32863.00,109,2029,55,1612,1108,394,19,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016570,EHA00535_bin.18.fa,Individual,EHA00535,2.3.0,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium ciconiae,99.08,99.89,0.08,2634716,62.00%,416554.00,687,2344,51,1851,1296,448,19,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016419,EHA00528_bin.6.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__Cryomorpha,s__,77.47,56.69,1.61,2011233,42.40%,2987.00,692,1398,38,995,467,381,27,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016387,EHA00536_bin.28.fa,Individual,EHA00536,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,s__,0.00,90.27,2.64,3298943,56.10%,5782.00,291,3049,89,2329,1283,681,22,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016370,EHA00536_bin.10.fa,Individual,EHA00536,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus faecalis,98.81,98.12,0.00,2749426,37.50%,98983.00,586,2638,76,2213,1499,383,15,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016124,EHA00529_bin.3.fa,Individual,EHA00529,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,98.72,99.96,0.04,4763981,50.50%,342461.00,33,4425,98,4007,3295,313,7,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016369,EHA00536_bin.1.fa,Individual,EHA00536,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,0.00,58.18,2.47,2629431,51.10%,2463.00,45,1463,30,1278,917,154,11,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016405,EHA00528_bin.19.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,98.24,91.82,3.20,3982172,51.40%,6711.00,43,3721,74,3311,2612,308,8,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016408,EHA00528_bin.21.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium guanonis,97.11,50.32,5.12,1667492,34.00%,2623.00,35,954,19,679,367,258,27,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016406,EHA00528_bin.2.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Gelidibacter,s__,83.73,69.63,0.00,3612461,38.90%,6778.00,235,3062,146,2328,1278,685,22,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016421,EHA00528_bin.8.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Gelidibacter,s__,0.00,98.96,0.82,4293662,38.70%,174094.00,44,3608,151,2855,1645,708,20,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016303,EHA00539_bin.11.fa,Individual,EHA00539,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger sp944388165,97.78,97.10,0.68,2724381,59.60%,29250.00,515,2620,111,2065,1254,523,20,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016411,EHA00528_bin.24.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Cellvibrionaceae,g__Gilvimarinus,s__,79.35,96.32,0.43,3020888,53.40%,24912.00,65,2719,120,2281,1670,378,14,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016412,EHA00528_bin.25.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__JAAYLC01,s__,76.66,91.25,1.46,2699667,36.80%,65614.00,73,2482,59,1967,1151,485,20,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016418,EHA00528_bin.4.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_C,g__JAJYRX01,s__,76.86,99.52,0.00,2791088,54.20%,221577.00,23,2665,57,2387,1784,227,9,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016400,EHA00528_bin.14.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__JAJYSO01,s__,83.47,84.68,3.06,2918089,40.10%,16029.00,690,2556,89,2036,1213,480,19,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016403,EHA00528_bin.17.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__JAJYSO01,s__,77.49,69.92,3.95,2284884,37.80%,5636.00,323,2144,63,1589,907,526,25,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016128,EHA00529_bin.7.fa,Individual,EHA00529,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__JAJYTI01,s__,78.60,95.43,0.48,2948404,35.60%,171033.00,56,2537,51,1973,1177,524,21,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016413,EHA00528_bin.26.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__JAJYTI01,s__,78.35,92.33,1.08,2672166,35.30%,62485.00,190,2355,45,1871,1119,450,19,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016240,EHA00531_bin.4.fa,Individual,EHA00531,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Limivivens,s__,79.63,98.08,2.06,4084588,51.40%,47544.00,141,3835,129,3091,1877,673,18,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016367,EHA00530_bin.8.fa,Individual,EHA00530,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Mammaliicoccus,s__Mammaliicoccus sciuri,95.29,93.33,1.84,2774854,32.40%,139238.00,32,2780,55,2302,1557,420,15,Strix aluco,ABB0120,Species,Skin swab
EHM016415,EHA00528_bin.28.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Mammaliicoccus,s__Mammaliicoccus lentus,98.60,97.05,1.38,2723863,31.80%,17993.00,620,2804,56,2389,1619,353,13,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016301,EHA00539_bin.1.fa,Individual,EHA00539,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Mediterranea,s__Mediterranea pullorum,96.95,94.14,0.74,3105400,49.00%,85357.00,140,2518,172,2104,1289,375,15,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016577,EHA00535_bin.24.fa,Individual,EHA00535,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__MGBC120314,s__,81.94,65.27,0.15,2160802,41.60%,4475.00,366,2001,57,1421,836,532,27,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016576,EHA00535_bin.23.fa,Individual,EHA00535,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__NC2004,s__NC2004 sp017621205,95.56,52.99,6.14,2122979,41.30%,2701.00,546,1349,25,890,458,437,32,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016395,EHA00528_bin.1.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Aeromonadaceae,g__Oceanisphaera,s__,0.00,95.19,0.00,2904976,47.90%,102240.00,592,2611,26,2298,1836,246,9,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016409,EHA00528_bin.22.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Aeromonadaceae,g__Oceanisphaera,s__,89.06,97.89,0.00,2633170,47.50%,109771.00,670,2424,45,2177,1729,195,8,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016236,EHA00531_bin.18.fa,Individual,EHA00531,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Aeromonadaceae,g__Oceanisphaera,s__Oceanisphaera sp012518835,98.56,76.71,1.62,2193743,47.70%,4266.00,33,1847,30,1583,1148,226,12,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016568,EHA00535_bin.16.fa,Individual,EHA00535,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Aeromonadaceae,g__Oceanisphaera,s__Oceanisphaera sp012518835,99.44,99.96,0.00,2716010,47.60%,112278.00,682,2523,33,2264,1847,197,8,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016565,EHA00535_bin.13.fa,Individual,EHA00535,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Onthovicinus,s__,78.81,95.30,0.00,2306538,54.20%,31155.00,615,2158,106,1669,1019,459,21,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016397,EHA00528_bin.11.fa,Individual,EHA00528,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_C,g__Paenalcaligenes,s__,77.81,84.15,0.59,1785236,47.10%,9232.00,110,1820,35,1595,1240,178,10,Strix aluco,ABB0120,Genus,Anal/cloacal swab
EHM016228,EHA00531_bin.1.fa,Individual,EHA00531,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides distasonis,97.26,97.30,0.92,4815605,45.00%,32654.00,53,4126,204,3193,1736,876,21,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016242,EHA00531_bin.6.fa,Individual,EHA00531,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides merdae,99.22,94.18,0.38,3942766,45.50%,47873.00,118,3261,196,2581,1502,637,20,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016311,EHA00539_bin.2.fa,Individual,EHA00539,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides faecavium,97.30,85.11,2.71,2731027,42.60%,6338.00,231,2370,147,1900,1061,432,18,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016318,EHA00539_bin.6.fa,Individual,EHA00539,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides distasonis,97.94,93.56,1.81,4085923,45.30%,7435.00,685,3539,166,2758,1409,728,21,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016379,EHA00536_bin.20.fa,Individual,EHA00536,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides faecavium,96.85,89.56,1.77,3006948,42.80%,7185.00,662,2573,171,2056,1121,472,18,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016388,EHA00536_bin.3.fa,Individual,EHA00536,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides distasonis,98.13,62.39,0.78,2048751,46.00%,2593.00,793,1114,50,883,436,212,19,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016582,EHA00535_bin.6.fa,Individual,EHA00535,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides distasonis,96.85,92.16,1.17,3706610,45.70%,7507.00,618,3146,159,2481,1338,620,20,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016244,EHA00531_bin.8.fa,Individual,EHA00531,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola vulgatus,98.90,98.49,0.38,4781710,42.00%,48045.00,167,4047,287,3075,1729,921,23,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016309,EHA00539_bin.18.fa,Individual,EHA00539,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola sp905198575,98.27,74.21,1.36,2208035,42.20%,31326.00,407,1873,116,1521,950,318,17,Strix aluco,ABB0120,Species,Anal/cloacal swab
EHM016376,EHA00536_bin.18.fa,Individual,EHA00536,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola plebeius_A,0.00,53.68,2.35,2612413,46.30%,3121.00,491,1713,65,1285,682,397,23,Strix aluco,ABB0120,Species,Anal/cloacal swab
